中文,日文,平假名讀音,難度
我,私,わたし,N5
他/她,彼/彼女,かれ/かのじょ,N5
家人,家族,かぞく,N5
父母,両親,りょうしん,N5
爺爺/外公,祖父,そふ,N5
奶奶/外婆,祖母,そぼ,N5
爸爸,父,ちち,N5
媽媽,母,はは,N5
兄弟姊妹,兄弟,きょうだい,N5
哥哥,兄,あに,N5
姊姊,姉,あね,N5
弟弟,弟,おとうと,N5
妹妹,妹,いもうと,N5
老師,先生,せんせい,N5
學生,学生,がくせい,N5
朋友（可指複數）,友達,ともだち,N5
好朋友,親友,しんゆう,N5
警察,警察,けいさつ,N5
公司職員,会社員,かいしゃいん,N5
店,店,みせ,N5
車站,駅,えき,N5
道路,道,みち,N5
家,家,いえ,N5
房間,部屋,へや,N5
建築物,建物,たてもの,N5
餐廳,レストラン,れすとらん,N5
公司,会社,かいしゃ,N5
銀行,銀行,ぎんこう,N5
公園,公園,こうえん,N5
醫院,病院,びょういん,N5
學校,学校,がっこう,N5
教室,教室,きょうしつ,N5
地鐵,地下鉄,ちかてつ,N5
公車站,バス停,ばすてい,N5
咖啡廳、茶館,喫茶店,きっさてん,N5
郵局,郵便局,ゆうびんきょく,N5
圖書館,図書館,としょかん,N5
電影院,映画館,えいがかん,N5
十字路口,交差点,こうさてん,N5
入口,入り口,いりぐち,N5
出口,出口,でぐち,N5
公寓,アパート,あぱーと,N5
百貨公司,デパート,でばーと,N5
電梯(elevator),エレベーター,えれべーたー,N5
旅館、飯店,ホテル,ほてる,N5
廁所,トイレ,といれ,N5
場所,場所,ばしょ,N5
地點、地方,所,ところ,N5
食物,食べ物,たべもの,N5
飯,ご飯,ごはん,N5
水果,果物,くだもの,N5
點心,お菓子,おかし,N5
咖哩,カレー,かれー,N5
麵包,パン,ぱん,N5
料理,料理,りょうり,N5
魚,魚,さかな,N5
肉,肉,にく,N5
牛肉,牛肉,ぎゅうにく,N5
豬肉,豚肉,ぶたにく,N5
鶏肉,鶏肉,とりにく,N5
蔬菜,野菜,やさい,N5
蛋,玉子、卵、たまご,たまご,N5
醬油,醤油,しょうゆ,N5
飲料,飲み物,のみもの,N5
水,水,みず,N5
茶,お茶,おちゃ,N5
